dataset,dataset_spec,model,random_state,n_samples,n_features,n_classes,n_bits,rho,ds_source,ds_n_samples,ds_n_features,ds_n_classes,ari_train,ami_train,ari_test,ami_test,train_time_s,pred_time_s,n_clusters,memory_bits,variant,n_train,n_test,status,error,traceback,ds_uci_id
Spambase,UCI_94_Spambase,ART1,1,4601,57,2,16,0.0,ucimlrepo,4601,57,2,0.0,0.0,0.0,0.0,0.0386815250385552,0.0229078619740903,1,116736.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,1,4601,57,2,16,0.25,ucimlrepo,4601,57,2,0.2017062735467696,0.2017742393625837,0.188989812425217,0.1759875314194616,0.0531430549453944,0.0339234019629657,3,350208.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,1,4601,57,2,16,0.5,ucimlrepo,4601,57,2,0.0029436215030353,0.0386208627477799,0.0095309058327725,0.1061861789076758,10.1261307511013,9.082218622090297,1723,201136128.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,1,4601,57,2,16,0.75,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0044448257007623,0.0810812996776481,13.022258877987042,12.379662943072615,2300,268492800.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,1,4601,57,2,16,0.9,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,0.0044448257007623,0.0810812996776481,12.965254175011069,12.595965115120634,2300,268492800.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,1,0.0,ucimlrepo,4601,57,2,0.0,0.0,0.0,0.0,0.0037650491576641,0.0010786610655486,1,7296.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,1,0.25,ucimlrepo,4601,57,2,0.0447105961498688,0.0726861711843312,-0.0191045791346459,0.0497011943761595,0.0041443149984843,0.0014304100004665,3,21888.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,1,0.5,ucimlrepo,4601,57,2,-0.0180115797902635,0.0591875179693678,-0.018164192051276,0.0620383684884576,0.0347764720208942,0.0147894080728292,65,474240.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,1,0.75,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,-0.0188805863695184,0.0621841709128931,0.8482466000132263,0.5582978508900851,2300,16780800.0,binary,2300,2301,ok,,,94.0
Spambase,UCI_94_Spambase,ART1,2,4601,57,2,1,0.9,ucimlrepo,4601,57,2,0.0,-6.235290044424582e-13,-0.0188805863695184,0.0621841709128931,0.8459508649539202,0.5615160290617496,2300,16780800.0,binary,2300,2301,ok,,,94.0
